abo	 《オーストラリア英語》《俗・禁句》原住民(aborigine) 
mix	 〈複数のもの〉‘を'『混ぜ合わせる』,混合する,混同する / …‘を'混ぜ合わせて作る,調合して作る / …‘を'寄せ集める,まとめる / 〈物が〉(…と)混ざる,混合する《+『with』+『名』》 / 〈人が〉(他の人と)交わる,交際する《+『with』+『名』》 / 〈C〉〈U〉混合 / 〈C〉混合物(食品,薬) / 〈C〉〈U〉(水・火を加えて即席にでき上がる)素(もと),ミックス
mks	 meter-kilogram-second 
moa	 モア(昔,ニュージーランドにいた飛ぶことのできないダチョウに似た鳥) 
mob	 〈C〉(無秩序な)『群衆』,暴徒,やじ馬 / 〈C〉(一般に,人・動物・物の)群れ,集まり《+『of』+『名』》 / 《the ~》大衆,民衆(the masses) / 《話》(盗賊・ギャングなどの)一団,一味 / …‘の'回りに熱狂して集まる;…‘に'大勢で押し寄せる 
mod	 モッズふうな(服装・音楽などについて伝統にとらわれない考え方の一つ)[modernの短縮形] 
mop	 『モップ』(長い柄の付いたぞうきん) / (…の)モップ,モップ(のような…)《+『of』+『名』》 / …‘を'モップでふく(掃除する) / 〈涙・汗など〉‘を'ぬぐう,ふく
mot	 気のきいた言葉 
mow	 (かま・機械などで)〈草・麦など〉‘を'刈る《+『名』+『with』+『名』》 / 〈畑・芝生など〉[の穀物(草など)]‘を'刈る / 刈る 
mpg	 miles per gallon 1ガロあたりの走行マイル数 
mud	 『泥』;ぬかるみ 
mug	 マッグ(重い陶器製または金属製の取っ手のついたコップ) / (また『mugful』)マッグ1杯(の…)《+『of』+『名』》
mus	 museum / music
nab	 (現行犯で)…‘を'逮捕する / …‘を'ひっつかむ,ひったくる
nae	 =no, not / =no
nag	 おいぼれ馬;駄馬(だば) / 《話》(一般に)馬,(特に)競走馬
nap	 (特に日中の)『ひと眠り』,昼寝 / ひと眼りする,まどろむ
nay	 《古》いな,いや(no) / 《文》そればかりでなく,それどころか / 拒絶,否定 / 反対投票;反対投票者
net	 (魚・鳥・昆虫などを捕らえる)『網』;(人・物を保護するための)網,ネット;(各種球技用の)ネット;(ベール・カーテンなどに用いる)ネット / わな,落とし穴 / (電話・ラジオなどの)情報網,通信網(network) / …‘を'網に作る(編む) / …‘を'網で捕らえる / …‘を'網でおおう;…‘に'網を張る
new	 (その状態になってまだ時間がたっていなくて)『新しい』;《名詞の前にのみ用いて》新しく発見(発明)された,新しく来た / 《名詞の前にのみ用いて》目新しい,初めて聞く,なじみのない / 《補語にのみ用いて》(人が)(…に)『まだ慣れていない』,(…を)よく知らない《『to』+『名』》 / 《補語にのみ用いて》(人が)(…から)出てきたばかりの《+『from』+『名』》 / 《名詞の前にのみ用いて》まだ着た(使った)ことがない,新品の / 新たに始まる;(肉体的・精神的に)一新した / 《おもに複合語を作って》最近(recently);新たに,新しく(newly) 
nib	 ペン先 / (一般的に)とがった部分,先端(tip) / (鳥の)くちばし 
nil	 無(nothing) / 《英》(スポーツの得点で)セロ
nip	 …‘を'はさむ,つねる,ぎゅっとかむ / (…から)…‘を'摘み取る,はさみ切る《+『of』+『名』(+『名』+『off』)+『from』+『名』》 / 《まれ》…‘を'宿みあがらせる,ずきっと痛くする / ‘を'成長(進展)を止める / はさむ,つねる,かむ / 《おもに英話》《方向などを表す副詞を伴って》すばやく動く,急ぐ / 〈U〉〈C〉はさむ(つまむ,かむ)こと / 〈I〉《しばしばa~》膚を刺す寒さ / 〈U〉《しばしばa~》《米》強い(刺激的な)味,つんと鼻にくる風味 / 〈U〉〈C〉《英話》急ぐこと
nit	 (シラミなどの)卵,幼虫 / 《英》=nitwit
nix	 無,皆無 / いや,だめで(no) / {間} / やめろ,いやだ;気を付けよ / …‘を'拒否する,断る 
nod	 (承諾・あいさつ・合図などで)『うなずく』,会釈する / (眠くて)『こっくりする』,(油断して)うとうとする《+off》 / 〈草木・穂などが〉揺れる / (承諾・あいさつなどで)〈頭〉‘を'『うなずかせる』 / …‘を'うなずいて示す / 《副詞[句]を伴って》〈人〉‘に'うなずいて示す / 《同意・承諾・あいさつ・命令など,また時には拒絶を表して》(…に対する)『うなずき』,『会釈』《+『to』+『名』》;(眠気による)こっくり 
nog	 卵酒[類] 
nor	 《neither…nor,で》…『も』,『も』…『ない』,また…ない(or not) / 《not,no,neverなどを含む否定節の後で,さらに次に続く内容を否定して》…『もまた』…『ない』 / 《肯定文の後,または文頭に置いて,次に続く内容を否定して》『そしてまた』…『ない』(and not) 
not	 《助動詞,be動詞,時にhaveと共に,また一般動詞にはdoを添えて文の否定を表して》…『でない』,しない / 《語・句・節を否定して》…『でなく』 / 「not+形(副)」は否定される形容詞・副詞の反対の意味を強調することがある / notの意が及ぶ範囲の違いによって,意味解釈に違いが生じることがある / 《不定詞・分詞・動名詞を否定して》…[『し』]『ない』 / 《all, everyなどとともに用いて部分否定を表して》(全部が…なのでは)『ない』,(必ずしも…では)『ない』 / 《any, eitherなどに伴って全面否定を表して》(全然…)『しない』,(どちらも…)『しない』 / 《省略文でnotを含む句・節の代用として》『そうではない』
now	 『今』,現在は / 《しばしばrightを伴って》『ただちに』,すぐに / (物語の中などで)そのとき / 現状では,今はもう / 《しばしばthatを伴って》『今や』…『なのだから』 / 『現在』,今 / 《話題の転換・慰め,非難・命令・懇願などの調子を込めて》『さて』,ところで,さあ 
nth	 n番めの,n倍の,n次の 
nub	 切り残り,切り株 / 塊 / 《単数形で》《話》(話などの)要点,核心《+『of』+『名』》 
nut	 『木の実』,堅果(けんか)(クリ・ドングリなど) / (堅果の皮をむいた)中の実,仁(じん)(しばしば食用になる) / (ボトルを留める)『留めねじ』,ナット / (バイオリンなどの)糸受け;毛止め / 《話》変人;気違い / 《話》あることに熱中する人,ファン,(…)狭 / 木の実を捜す(拾う) 
oaf	 愚か者;まぬけ 
oak	 〈C〉『オークの木』(カシ・カシワ・ナラの類;実はacorn) / 〈U〉オーク材(家具材・床材・船材などに用いる)
oar	 (ボートの)『オール』,かい / こぎ手(oarsman) / 〈ボート〉‘を'オールでこぐ / こぐ
oat	 《まれに》〈C〉(植物としての)『カラスムギ』,オートムギ,エンバク / 《複数形で;単数・複数扱い》(穀物としての)カラスムギ,オートムギ(家畜の飼料,またoatmealの原料)
obi	 =obeah 
ode	 頌歌(シヨウカ),頌詩,賦(ふ)(特定の人・でき事などをたたえる高尚・巌粛な叙情詩) 
oft	 しばしば(often) 
ohm	 オーム(電気抵抗の単位;記号Ω) 
oil	 〈U〉〈C〉『油』;油状物 / =petroleum / 《複数形で》=oil paint / =oil painting / …‘に'油を塗る,油を引く,油を差す 
old	 『年とった』,老齢の / 『年上の』,年長の / 『ある年月』(『年齢』)『の』,…歳の / (物事が)『古い』,古くさい,新しくない / 《名詞の前にのみ用いて》『昔なじみの』,昔なつかしい / 《名詞の前にのみ用いて》『古代の』,大昔の / 《名詞の前にのみ用いて》(現在に対して)以前の,もとの / (衣服など)使い古した / (人が)経験のある,老練な / 《話》《呼び掛けで親しみなどをこめて》 / 《話》《名詞の前にのみ用い,前の形容詞を強めて》非常な,すばらしい / 昔
ole	 それっ,がんばれ(賛同・歓呼の叫び声;特に闘牛士・フラメンコダンサーへのかけ声) 
one	 『1個の』,一人の,単一の;《補語にのみ用いて》1歳の / 《時を表す名詞と共に》『ある』… / 《人名に付けて》…という[名の]人 / 同一の,同じ(the same) / 《theまたは所有格を付けて》たった一つの,唯一の / 《another, [the]otherと対比して》一方の / 〈U〉〈C〉『1つ』,1個,一人,1時,1歳 / 〈C〉(数字の)『1』;1の記号(1,Iなど) / 《the O-》超人的なもの / 〈U〉《しばしばa ~》(攻撃・冗談・うそなどの)一発 / 《前に述べた可算名詞を受けて》『それ』 / 《修飾語を伴わないで》 / 《修飾語句を伴って》 / 《後》に「of+複数名詞・代名詞」を伴ってその名詞・代名詞の》『一つ』,一人 / 《後にanother, [the]otherと対照して》一つ,一方 / 《修飾語句を伴って》(特定の)『人』,者 / 《総称的に》『人』 / 私,自分
ops	 軍事作戦 
opt	 (…を)選ぶ《+『for』+『名』》;(…するほうを)選ぶ《+『to』 do》 
orb	 球,球体 / 天体(太陽,月,星など) / 宝珠(しゃく(scepter)とともに英国王権の象徴;十字架がついている) / 《詩》《通例複数形で》眼球;目
ore	 鉱石,原鉱 
our	 『我々の』,『私たちの』 / 《社説・評論などでmyの代りに用いて》我々の,我が社の;当…の / 《話題の人を指して》例の,我が / 《君主が公式の場でmyの代りに用いて》我が,余の
out	 (ある位置・状態から)『外へ』(『で』),外出して;戸外に;外国に / (隠れた所から表面に)『現れ出て』;世に出て;発表されて;(花・葉などが)出て来て,咲いて / 『無くなって』,消えて;終わって;流行遅れの,すたれた / 『最後まで』,すっかり / 大声で,はっきりと,隠さずに / (政権・現職から)離れて,去って / 仕事を休んで;ストライキをやって / (調子が)狂って,乱れて,(関節などが)はずれて;まちがって;損をして / (野球・クリケットで)アウトになって(ボクシングで)ノックアウトになって / 支配権を失った,政権から離れた / (野球・クリケットで打者・走者が)アウトになった / (衣服などが)並はずれて大きい,特大の / 遠く離れた / 《米》…から[外に(を)] / 《米》…に沿って外へ,のはずれに / (野球・クリケットで)アウト;《the outs》守備測 / 《複数形で》失業者 / 《米話》言い訳,口実 / ばれる,露見する / 出て行け
ova	 ovumの複数形 
owe	 …‘を'『借りている』,借金している / …‘の'『おかげをこうむっている』 / …‘を'与える義務がある / (…に対して)借りがある,借金をしている《+for+名》
owl	 『フクロウ』 
own	 『自分自身の』,それ自身の,特有の / 『自分自身のもの』,わがもの / …‘を'『所有する』,持つ / …‘を'『認める』,白状する;…‘を'自分のものと認める / (…を)白状する,告白する《+『up to』+『名』(do『ing』)》 / (…を)認める《+『to』+『名』》
pad	 (衝撃・摩擦などを防ぐ)《当て物》,クッション,詰め物;(洋服の肩などの)パッド,(球技用の)胸当て:すね当て;(いすなどの)敷き物 / はぎ取り式の帳面,用紙つづり / (また『inkpad』)スタンプ台,インク台 / (犬・ウサギなどの)足裏の柔らかいふくらみの部分 / (スイレンなどの)大きな浮き葉 / (ロケットなどの)発射台(launching pad) / 《俗》(自分が住む)部屋,家 / 《俗》《the pad》わいろ / (…で)…‘に'『当て物をする』,詰め物をする,パッドを入れる《+『名』+『with』+『名』》 / (不必要な文句を入れて)〈文など〉‘を'引き延ばす《+『out』+『名』+『with』+『名』》 / (費用などを)〈帳薄など〉‘に'水増しして記帳する《+『名』+『with』+『名』》 
pal	 《話》『友達』,仲間,親友 / (…と)仲よくなる《[『up』]『with』+『名』》
pan	 (通例ふたのない片柄の)『平なべ』 / 平なべ状の物;(はかりなどの)皿;(砂金などを砂利から分ける)選鉱なべ / 硬質地層 / …‘を'平なべで煮る / 〈砂金など〉‘を'えり分ける,選鉱する《+『off』(『out』)+『名,』+『名』+『off』(『out』)》 / 《話》…‘を'こきおろす,酷評する / (…を得るために)選鉱なべで洗う《+『for』+『名』》 
par	 〈U〉同等,同価,同水準,同程度 / (また『par value』)〈U〉平価,額面価格 / 〈U〉(程度・質・状態・数量などの)平均,標準;(精神・健康などの)常態 / 〈C〉(ゴルフで)標準打数,パー / 《名詞の前にのみ用いて》平均の,標準の / 額面の
pas	 (バレエのステップの)踏み足 / 優先権
pat	 (愛情・賞賛などを表して手のひらで)…‘を'『軽くたたく』,ポンとたたく / (へらなどで)(…の形に)…‘を'軽くたたいて整える《+『名』+『into』+『名』》 / 『軽くたたくこと』 / その音 / (バターなどの)小さいかたまり《+『of』+『名』》 
paw	 (四つ足動物のかぎつめのある)『足』 / 《話》《おどけて》(人間の)手 / 〈四つ足動物が〉…‘を'足でたたく(ひっかく) / 《話》…‘を'手荒く(無器用に)扱う / (…を)ひっかく,手荒に扱う《+『at』+『名』》 
pay	 〈金・税金・負債など〉‘を'『支払う』;…‘に'支払う / (収益・利潤として)〈物事が〉…‘を'もたらす,支払う / 〈物事が〉…‘の'利益になる,役に立つ / 〈注意・敬意など〉‘を'『払う』;〈あいさつ・訪問など〉‘を'『する』 / (…の)支払い(償い)をする《+『for』+『名』(do『ing』)》 / 利益がある,役に立つ / 『支払い』;(特に)『賃金』,給料,俸給 / (…の)雇用,雇い(employment)《+『of』+『名』》 / 有料の,コイン式の 
pea	 『エンドウ』;エンドウ豆 
peg	 (木などの,おもに木工に用いる)『くぎ』,掛けくぎ;(たるなどの)『せん』;(テントなどの)『くい』 / (弦楽器の弦をしめる)ねじ / 《話》(評価などの)段階)degree) / (議論などの)きっかけ,口実 / 《話》(おもに野球で)送球 / …‘を'『木くぎ』(『くい』)『でとめる』,‘に'木くぎ(木くい)を打つ《+『名』+『down』,+『down』+『名』》 / 〈物価・賃金など〉‘を'仰える,安定させる / 《話》(おもに野球で)〈ボール〉‘を'投げる / 《話》…‘を'認める,見定める 
pen	 〈C〉(インクを用いる筆記具全体をさして)『ペン』;万年筆,ボールペン,フェルトペン;ペン先 / 〈U〉《the~》文筆,著述 / 〈C〉《単数形で》《文》文筆家 / 《気どって》…‘を'書く,著す(write)
per	 …『につき』,…ごとに / 《文》…によって,…で,…を通じて / 《しばしば『as per』…で》…によって示された通りに,…に従って 
pet	 『愛がん動物』,ペット / 《単数形で》お気に入りの人(物) / (動物などが)愛がん用の,ペットの / (名前などが)愛情を表す / お気に入りの;お得意の / …‘を'愛撫(あいぶ)する,かわいがる
pew	 (教会のベンチ形の)座席 
phi	 ファイ(ギリシア語アルファベットの第21字Ф,φ;英語のphに相当) 
pic	 映画 / 写真[pictureの短縮形]
pie	 パイ 
pig	 〈C〉『豚』;子豚 / 〈U〉豚肉(pork) / 〈C〉《話》豚のような人(不潔な人,食いしんぼう,欲張り,非常に太った人など) / 〈C〉なまこ(型に流しこんで作った鉄・鉛などの金属塊);なまこを作る型;銑鉄(せんてつ)(pig iron) / 《俗》《軽べつして》おまわり 
pin	 『ピン』・留め針・《しばしば複合語を作って》ピンの働きをする物 / (留め針の付いた)『記章』,『バッジ』 / (木・プラスチック・金属などの)留めくぎ,掛けくぎ(peg);(弦楽器の)糸巻き / 《複数形で》《英話》脚(legs) / 《a~》《否定文で》ほんのわずか / (ゴルフ・ボウリングの)ピン / (…に)…‘を'『ピンで留める』《+『名』+『to』(『on』)+『名』》 / (人・物事に)〈望み・信頼など〉‘を'かける《+『名』+『on』+『名』》 / (…に)…‘を'動けなくする《+『名』+『against』(『to, under』)+『名』》 / 《話》〈罪・過失など〉‘を'(人の)せいだとする《+『名』+『on』+『名』〈人〉》
pit	 (自然の,または掘った)『地面の穴』,『くぼみ』 / 《しばしば単数形で》《the pit》立て坑,採掘場 / 落とし穴 / 《単数形で》《the pit》《英》(劇場の)平土間(1階正面後部の安い料金の席全体を指す);平土間の観客;《米》(舞台手前の1段低くなった)オーケストラ席 / (身体や物の表面の自然にできた)くぼみ / 《しばしば複数形で》(傷・天然痘などでできた皮膚の)小さなくぼんだ跡,あばた / (動物を入れておく)囲い;闘鶏場(cockpit),闘犬場 / 《the ~》地獄(hell) / ピット / 自動車修理店などで,車体の下で作業するために床に設けたくぼみ / 《the pits》自動車レースで給油・タイヤ交換などの場所 / …‘に'点々と穴をあける;…‘を'あばたにする / (…と)…‘を'取り組ませる,対坑させる《+『名』+『against』+『名』》 
pix	 =pyx 
ply	 (重ねた布・合板・紙などの)(…)層,重 / (糸・繩など)…本をよった
pod	 (エンドウマメなどの)さや・(飛行機)のパッド(エンジン・燃料・武器・荷物などを収める翼の下にあるふくらみ) / さやになる,さやを生ずる / 〈豆〉‘の'さやをむく 
pol	 《話》政治家 
pot	 〈C〉(金属・陶器・ガラス製などの)『つぼ』,かめ,鉢(はち);深なべ・〈C〉びん・つぼ・かめ・なべなどの)1杯分(の分量)《+『of』+『名』》 / 〈C〉室内用便器(chamber pot) / 〈C〉《話》優勝カップ / 〈U〉《the pot》《おもに米》(ポーカーなどの)1回の総賭(か)け金 / 〈C〉《しばしば複数形で》《話》多額[の金] / 〈U〉《the pot》《米》(仲間が共同で使えるように出し合う)基金 / 〈C〉《話》《おもに英》お偉方,大物 / 〈U〉《属》マリファナ(marijuana) / =potbelly / 〈植物〉‘を'鉢植えにする / 〈食物〉‘を'容器に入れて保存する / (食用・スポーツとして)〈獲物〉‘を'撃ち殺す / 《話》〈子供〉‘を'室内便器に坐らせる 
pox	 《古》発疹(はっしん)の出る病気(水痘(chicken pox),ほうそう(small pox)など) / 《the ~》《話》梅毒
pro	 =professional 
pry	 のぞきこむ;せんさくする 
psi	 プシー(ギリシア語アルファベットの第23字Ψ,ψ;英語のpsに相当) 
pub	 パブ(public house) 
pug	 パグ(顔がブルドッグに似た小型犬) 
pun	 駄じゃれ,しゃれ,語呂(ころ)合わせ / しゃれ(語呂合わせ)を言う
pus	 うみ,膿(のう) 
put	 《副詞[句]を伴って》(ある場所・位置に)…‘を'『置く』,載せる,すえる,付ける / 《状態を表す副詞[句]を伴って》(ある状態に)…‘を'『置く』,する;〈人・動物〉‘に'(…)させる / (仕事・任務などに)〈人・動物〉‘を'『向ける』,つける;(用途・目的などに)〈物事〉‘を'向ける,用いる《+『名』+『to』+『名』》 / (苦痛・試練などを)〈人〉‘に'受けさせる《+『名』〈人〉+『to』+『名』》 / (人・物に)〈税・負担など〉‘を'課す,負わせる《+『名』+『on』+『名』(a person's do『inn』)》 / (人・事に)〈責任など〉‘を'かぶせる,負わせる《+『名』+『on』(『upon』)+『名』》;(責任などを)〈人・事〉‘に'かぶせる《+『名』+『to』+『名』》 / (物事に)〈解釈・価値など〉‘を'『与える』,(物に)〈価格など〉‘を'付ける《+『名』+『on』(『upon』)+『名』》 / …‘を'評価する,見積もる,みなす / (…に)〈考えなど〉‘を'『表現する』,述べる《+『名』+『into』+『名』》;〈文字・印など〉‘を'書き付ける,記入する《+『名』+『on』+『名』》 / (…に)…‘を'翻訳する《+『名』+『into』+『名』》 / (…に)〈問題・質問など〉‘を'提出する,提起する《+『名』+『to』(『before』)+『名』》 / (物事に)〈終止・制限など〉‘を'与える《+『名』+『to』+『名』》 / 〈船などが〉進む,行く,向かう / 《話》急いで立ち去る;逃げ出す / (砲丸などの)投げ,投てき;投てき距離 / 突き,押し / 落ち着いた,動かないで 
pyx	 (カトリック教の)聖体容器 / (またpyx chest)貨幣検査箱
qua	 …として,の資格で 
rag	 『布切れ』;(特に)『ぼろ切れ』,ぼろくず / 《複数形で》ぼろ服 / (一般に)(…の)小片,切れ端,かけら《+『of』+『名』》 / 《話》ぼろ新聞
rah	 ふれー,それっ(激励の掛け声) 
raj	 (インド・パキスタンで)支配[期間];(特にインドでの)英国統治 
ram	 (去勢しない)雄羊 / 破城づち(先に鉄のつめのついたさおで,戸・城壁などを破るのに用いた) / くい打ち機 / (…に)…‘を'激しく打ちつける(打ち込む)《+『名』+『against』(『into』)+『名』》 / …‘に'激突する / (…に)…‘を'詰め込む,押し込む《+『名』+『into』(in, down』)+『名』》 / (…に)激突する《+『against』(『into』)+『名』》 
ran	 runの過去形 
rap	 (…を)『コツン』(『トン』)『とたたくこと』(『音』)《+『on』(『at』)+『名』》 / 《話》(人のしたことに対する)非難,とがめ《+『for』+『名』》 / 《俗》おしゃべり / …‘を'コツン(トン)とたたく / 〈命令など〉‘を'びしゃりと言う《+『out』+『名』,+『名』+『out』》 / (…を)コツン(トン)とたたく《+『at』(on)+『名』》 / 《俗》互いに気持ちよく話す・〔俗〕 非難（する）; 叱る; 〔俗〕 告訴［処罰，逮捕］（する）; 〔俗〕 おしゃべり（する）; 〔米俗〕 ラップ（ミュージック）; 〔米俗〕 ラップで歌う・「take the rap」で「甘んじて罰を受ける」 
rat	 『ネズミ』 / ひきょう者,裏切り者 / ネズミをつかまえる / 《話》(人を)裏切る,密告する《+『on』+『名』〈人〉》
raw	 (食物が)『生の』,『料理されていない』 / (物が)『原料のままの』,加工されていない / (皮膚が)『赤むけの』,傷口のあいた;(…で)赤むけの《+『with』+『名』》 / (人が)経験のない,未熟な;(…に)不慣れの《+『to』+『名』》 / 湿気があって寒い / 《話》ひどい
ray	 『光線』;熱線;放射線 / 《a ~》(希望などの)一筋(ひとすじ),ごく少量《+『of』+『名』》 / 放射状に突き出たもの;(ヒトデなどの)腕 
rct	 receipt / recruit
rec	 =recreation 
red	 〈U〉〈C〉『赤,』『赤色;』赤い絵の具(染料) / 〈U〉赤い服 / 〈C〉《しばしば『R-』》《話》《時に軽べつして》アカ,共産主義者;過激論(主義)者 / 〈U〉《通例the ~》(会計の)赤字,負債 / 『赤い』,赤色の / (顔・目などが)赤くなった;血に染った / 赤い服を着た;赤毛の / 《しばしば『R-』》《話》《軽べつして》共産主義の;過激な
ref	 =referee 
rem	 レム(X線のレントゲンのように,人体に与える電離放射線量の単位) 
rep	 横うね織物(いすのカバー.カーテンなどに使われるじょうぶな織物) 
rev	 (エンジン・モーターなどの)回転(revolution) / 〈エンジン〉‘の'回転を増す《+『up』+『名,』+『名』+『up』》 / 〈モーターが〉大きな速度で回転する《+『up』》 / 急速に活動する《+『up』》
rho	 ロウ(ギリシア語アルファベットの17番目Ρ,ρ;英語のR,rに相当) 
rib	 『肋骨』(ろっこつ),あばら骨 / (骨付きの)あばら肉 / 肋骨状の物;(船の)肋骨,肋材(ろくざい);(丸天井の)萩減(ろく)(建物・橋の)横ばり;(かさなどの) 骨 / 葉脈(vein) / (編物・織物の)うね / …‘に'肋骨(肋材)をつける / 〈編物〉‘に'うね模様をつける / 《話》…‘を'いじめる,からかう
rid	 《『rid』+『名』〈場所・人〉+『of』+『名』》(やっかいなものを)〈場所・人〉‘から'『取り除く』 
rig	 〈船〉‘を'艤装(ぎそう)する / (マストなどを)〈船〉‘に'つける《+『名』+『with』+『名』》;(マストに)〈帆〉‘を'つける《+『名』+『to』+『名』》 / …‘に'装備をつける;…‘を'装備する《+『up』+『名,』+『名』+『up』》 / 船の装備(帆装),艤装(ぎそう) / (特定の目的のための)道具,用具 / 《英話》衣服,服装(clothing)
rim	 (特に円形,またはカーブしたものの)『へり』,『縁』(ふち) / (車輪の)わく,リム / …にへり(縁,わく)をつける,‘を'縁どる / …の縁(へり)をぐるっと回る
rip	 …‘を'『裂く』,破る《+『up』+『名,』+『名』+『up』》 / 〈穴など〉‘を'裂いて(破って)作る / …‘を'裂いて(はうって)取る《+『out』(『off, away』)+『名,』+『名』+『out』(『off, away』)》;(…から)…‘を'破って取る《+『名』+『out of』(『off, away from』)+『名』》 / 〈木材〉‘を'縦びきする / 裂ける,破れる / 裂け目,破れ目 / 引き裂くこと 
riv	 river 
rob	 (金品を)〈人・銀行など〉‘から'『力ずくで奪う』,強奪する《+『名』〈人・銀行など〉+『of』+『名』〈金品〉》 / 〈人・銀行など〉‘から'金品を盗む;…‘の'中身を盗む / (人・銀行などから)〈金品〉‘を'『おどし取る』 / (事を)…‘から'むりやりに取ってしまう,無くしてしまう《+『名』+『of』+『名』〈事〉》 / 略奪する,強盗を働く 
roc	 ロック(アラビア神話の巨大な怪鳥でひな鳥を育てるのに象をえさにしたという) 
rod	 (木製・金属製などの)『棒,つえ』,さお;釣りざお / (刑罰に用いる)木のむち;《the ~》むち打ち,せっかん / ロッド(長さの単位;『5』1/2yards,約5m) / (目の)桿(かん)状体(弱い光にも感じる網膜細胞) / 《米俗》ピストル 
roe	 魚卵,はららご 
rom	read-only memory/読み出し専用メモリー・読み出し専用メモリ基本入出力システム
rot	 『腐る』,朽ちる《+『away』(『off』)》 / だめになる / …‘を'『腐らせる』,腐朽させる / 腐敗,腐れ;腐敗物 / (動植物の)腐敗病;《話》たわ言,ばかなこと 
row	 (人や物の)(特にまっすぐな)『列』,並び《+『of』+『名』》 / (劇場・教室などの)座席の列 / (両側に建物の並んだ)通り;《しばしば町名として》…通り 
rpm	 revolutions per minute毎分回転数 
rps	 revolutions per second毎秒回転数 
rte	 route 
rub	 〈物の表面など〉‘を'『こする』,さする / (…に)…‘を'こすりつける《+名+『against(on, over)』+名》;(…に)…‘を'すりこむ《+『名』+『in』(『into, on』)+『名』》 / 〈二つの物〉‘を'こすり合わせる《+『名』+『together,』+『together』+『名』》 / …‘を'こすり落とす《+『名』+『away』(『off』)『,』+『away』(『off』)+『名』》 / …‘を'すりむく,ひりひりさせる / (…の表面を)『こする』,すれる《+『against』(『on』)+『名』》;〈二つの物が〉こすれ合う《+『together』》 / 《単数形で》こすること / 当てこすり / 《the rub》やっかいな事,困難 
rue	 …‘を'後悔する,残念に思う / 後悔
rug	 (床の一部に敷く)『敷き物』,じゅうたん,もうせん / (敷物用)毛皮 / (特に旅行・キャンプ用などの)ひざ掛け 
rum	 ラム酒(サトウキビから作ったアルコール飲料) / 《米》(一般に)酒
run	 『走る』,駆ける / 〈人が〉(…に)『急ぐ』,突進する《+『for』(『to』)+『名』》 / 『さっと逃げる』,走り去る / 急いで(とょっと)出かける(尋ねる) / 〈乗り物が〉『走る』,(定期的に)『運行する』 / 自由に動く(動き回る) / (…に)立候補する《+『for』+『名』》 / (進行形にできない)(ある方向へ)延びている,続いている / (ある方向へ)〈植物が〉伸びている,はい延びている / 〈物事が〉『動く』,機能を働かせる / 〈事が〉続く,継続する / (ある状態,特に困った状態に)『なる』,陥る,達する / 〈記憶・考えなどが〉さっと頭(心)に浮かぶ,脳裏を走る / 〈水・砂などが〉流れる / 〈特質などが〉伝わる,遺伝する / (水などを)流す,あふれ出る《+『with』+『名』》 / 〈色・汚れなどが〉広がる,にじむ / 《米》〈編物・織物が〉ほどける,〈ストッキングが〉伝線する(《英》ladder) / 〈うわさなどが〉広まる,伝わる / 上演(上映)中である / 〈魚が〉(産卵のため)川を上る / 〈ある場所・距離〉‘を'『走る』,走って行く;〈レース〉‘を'走る / 〈人・動物〉‘を'『走らせる』,競走させる / 〈乗り物〉‘を'『走らせる』,〈公共の乗物〉‘を'『運行させる』 / …‘を'『さっと動かす』 / 〈機械など〉‘を'『動かす』,運転する / 〈液体〉‘を'流す;〈容器〉‘に'流し込む,‘を'あふれさせる / …‘を'車(船など)に乗せて走る(運ぶ) / 《しばしば副詞[句]を伴って》…‘を'ひそかに持ち込む,密輸する / 《米》(…に)〈人〉‘を'立候補させる,候補者に立てる《+『名』+『as』(『for』)+『名』》 / 〈組織〉‘を'動かす,運営する / …‘を'発行する,出す / 〈映画・劇など〉‘を'上映(上演)し続ける / 〈危険など〉‘に'身をさらす / …‘を'するすると動かす / (ある方向に)…‘を'伸ばす / 〈熱など〉‘に'冒される / …‘を'通り抜ける / 〈C〉『走ること』,駆け足;〈U〉走力 / 〈C〉『走る距離』(『時間』);行程,航程 / 〈C〉《単数形で》急ぎの(短い)旅行(訪問) / 〈C〉運行,運航,飛行 / 〈C〉(劇などの)連続公演;(ある状態の)連続,継続《+『of』+『名』》 / 〈C〉(…の)非常な売れ行き,大需要;流行;当たり《+『on』+『名』》 / 《単数形で》(…の)向き,方向;形勢,成り行き,傾向《+『of』+『名』》 / 〈C〉種類,等級;並みのもの / 〈C〉(液体の)流出《+『of』+『名』》 / 〈C〉《米》(靴下などの)伝線,ほつれ / 〈C〉《the ~》出入りの自由 / 〈C〉(家畜の)囲い場,放牧場
rut	 わだち,車輪の跡 / 決まりきった仕方(暮らし方),常例,常軌 / 〈道路〉‘に'わだちをつける 
rya	 リャー(ぶ厚いパイルでできた手織りじゅうたん) 
rye	 ライムギ(ライ麦)(パン,ウイスキーの原料;また家畜の飼料);ライムギの種(粒) / ライ麦製ウイスキー
sac	 小袋,のう(動植物の内部にあり,特に液を含んだもの) 
sad	 (人が)『悲しい』 / (表情などが)『悲しそうな』;(物事が)『悲しむ』 / 『べき』,残念な / 《名試の前にのみ用いて》ひどい,みじめな,貧習な / (色が)くすんだ 
sag	 たるむ,たわむ,だらりと垂れる《+『down』》 / 〈物価などが〉下落する(fall) / 〈勇気・元気が〉なくなる,めいる / (…の)たるみ,沈下,下落《+『in』+『名』》
