would	 《時制の一致により will の過去形として》 / 《単純未来》『…だろう,』でしょう / 《意志未来》『…するつもりである,』しよう / 《過去の想像・推定》『…だったろう』 / 《過去における主語の強い意志・固執》『どうしても…しようとした,』必ず…した / 《過去における断続的な習慣・動作の反復》『…したものだった,』よく…した / 《無生物主語を伴って》《過去における可能性・能力》『…できた』 / 《仮定法条件の帰結節で》 / 《現在の事実に反する仮想》『…だろうに,』なのだが / 《would have+過去分詞の形で》《過去の事実に反する仮想》『…だったろうに,』だったのだが / 《条件節に用いて》…するつもりがある,する意志がある / 《控え目な表現・ていねいな表現として》『たぶん…だろう,』どうも…らしい;《二人称主語の疑問文で》…してください[ませんか] / 《人の特性・癖》『きまって…する,』…するのが癖だ / 《願望を表す動詞の目的語節において》(願わくは)…『であるよう』 / 《文》《願望》『…したい』 / …であればよいと思う(wish)
shape	 〈C〉〈U〉『形』,外形,形状・〈U〉状態、調子・〈U〉申分のない体調・〈U〉《時にa~》体つき,姿,なり・〈U〉(物事の)状態・…‘を'『形を作る』・‘を'形づける(give form to);(…の形に)…・‘を'形作る《+『名』+『into』+『名』》・…‘を'形を整える・‘を'合わせる・(…に)…‘を'形を合わせる《+『名』+『to』+『名』》・〈進路・方針など〉‘を'定める・形ができる・具体化する・発展する《+『up』》 
dream	 『夢』 / 『白昼夢』,幻想(daydream) / 抱負,強い希望,夢 / 《話》夢のように美しいもの,魅力のあるもの / 『夢を見る』 / (…を)『夢想する』,思い描く《+『of』(『about』)+『名』(do『ing』)》 / …‘を'『夢に見る』,《a+形容詞+dreamを目的語にして》〈…の夢〉‘を'見る / 《『dream』+『that節』》…‘と'『思う』,想像する / 〈時〉‘を'うかうかと過ごす《+『away』+『名』》 
wrong	 『正しくない』,間違っている,誤った / (道徳的に)『悪い』,不正の / 『適当でない』,ふさわしくない / 《補語にのみ用いて》(…が)『ぐあいが悪い』,調子が悪い,故障した《+with+名》 / 裏の,逆の / 〈U〉『悪』,不正 / 〈C〉〈U〉『悪事』,不法行為,害 / 『誤って』,間違って / 不正に,悪く / …‘に'悪いこと(ひどいこと)をする;‘を'誤解する
exact	 《名紙の前にのみ用いて》(数量など)『正確な』,きっかりの;(物事が)そのままの,そっくりの / (人が)『厳密な』;(機械など)精密な / 〈事柄が〉…‘を'要求する / (人に)〈支払・服従など〉‘を'強要する,強いる《+『名』+『from』+『名』〈人〉》
quiet	 『静かな』,ひっそりした,閑静な / 『音を出さない』(『立てない』),沈黙した(silent) / 『動きのない』,静止した / 『平穏な』,穏やかな,安らかな / (色などが)落ち着いた,じみな / 静かさ,静寂・平穏(tranquility);安静(rest)・平静・〈人・騒ぎなど〉‘を'静める;…‘を'なだめる・静まる;落ち着く
maybe	 『たぶん』,おそらく,ことによると 
radio	 『ラジオ』[『放送』] / 〈C〉『ラジオ』[『受信機』] / 〈U〉無線電信;〈C〉無線による通信 / 『ラジオの』;無電(無線)の / 〈通信〉‘を'『無電』(『無線』)『で送る』;〈人・船など〉‘に'無電を打つ / 無電を打つ
worth	 (…するだけの)『価値がある』,(するに)値する《+名(doing)》 / (…の)『値打ちがある』,(…と)同じ価値の《+名》 / (…だけの)財産を持つ《+名》 / (人・物事の)『真価』,価値 / (金銭的な)『価値』,値打ち / (金額相当の)分量 / 富,財産 
faith	 〈U〉『信頼』,信用;確信,信念 / 〈U〉(…への)『信仰』,(…に対する)信心(belief)《+『in』+『名』》 / 〈C〉教義,信条(doctrine) / 〈U〉信義,誠実(sincerity) / 〈U〉誓約,約束 
model	 (通名縮小した)(…の)『模型』,ひな型《+『of』+『名』》 / 《単数形で》(…の)『模範』,手本《+『of』+(『for』)+『名』》 / (美術家・作家などの)モデル,ファッションモデル / (自動車・服装などの)型,式《+『of』+『名』》 / 《英》《単数形で》(…と)そっくりな人(物),(…の)生き写し《+『of』+『名』》 / 『模型の』,見本の / 『日範的な』,申し分のない / (ある材料で)…‘の'模型を作る,‘を'型どる《+『名』+『in』+『名』〈材料〉》 / (手本・型に合わせて)…‘を'作る《+『名』+『after』(『on, upon』)+『名』(a person's do『ing』)》 / 〈洋装・髪型などの〉‘の'モデルをする / (…で)(原型)を作る《+『in』+『名』》 / (ファッションショーなどで)モデルをする
shake	 (前後・上下・左右などに)…‘を'『振る,』揺り動かす,揺する / (…から)…‘を'『振り落とす』《+『名』+『from』(『out of』)+『名』》 / 〈地震・爆発などが〉…‘を'『震動される』 / 〈基礎・信念など〉‘を'『動揺させる,』ぐらつかせる / 〈人〉‘を'動揺させる,』‘を'心をかき乱す / 〈ちり・病気・悪習・追っ手など〉‘を'振り払う,振り切る,除く《+『off』+『名,』+『名』+『off』》 / 『揺れる,』震動する / (恐布・寒さなどで)『振える』《+『with』+『名』》 / 揺り動かす / 〈C〉『揺ること』;揺れ;震え / 《the shakes》《話》(熱・寒けによる)身震い,悪寒(おかん) 
frame	 〈C〉(建造物・機械などの)『骨組み』《+『of』+『名』》 / 〈C〉(戸・窓などの)『枠』;額縁《+『of』+『名』》《複数形で》めがねの枠 / 〈C〉『体格』 / 〈C〉(…の)構造,体制《+『of』+『名』》 / 〈C〉(簡略な)温室,温床 / 〈C〉(ボーリングで)フレーム(10回で1ゲームを構成するその各回);各回の得点を記入する枠 / 〈C〉(映画のフイルムの)一こま / 《修飾語を伴って》《a~》気持ち,気分 / (組み合わせて)…‘を'『形作る』,組み立てる;(ある目的などに合うように)〈人・物〉‘を'作り上げる / 〈考え・構想など〉‘を'心に抱く / 〈絵など〉‘を'粋に入れる,縁どる / 〈言葉など〉‘を'言う / 《話》〈人〉‘に'ぬれぎぬを着せる 
thick	 『厚い』,分厚い;『太い』 / 《数量を表す名詞の後に用いて》『厚さ…の』,太さ…の / (液体・気体が)『濃い』,濃厚な / 『密な』,密生した,密集した / (なまりが)著しい,ひどい / (声が)はっきりしない,かすれた / (頭が)重い,ぼんやりした / 《話》ばかな,愚かな / 《話》親密な;(…と)親して《+with+名》 / 《補語にのみ用いて》(…で)いっぱいの,満ちた《+with+名》 / 『厚く』,分厚く,濃く,密に / 《the ~》(…)最も厚い(太い,濃い,密な)部分《+of+名》 / 《the ~》(活動などの)たけなわ,まっただ中《+of+名》 
daily	 『毎日の』,日々の / 『毎日』,日々(everyday);日ごとに / 日刊新聞(daily paper) / (また『daily help』)《おもに英話》通いのメイド
block	 (木・石などの,通例平らな面のある)『かたまり』 / 《米》(四団を街路に囲まれた)『区画』,街区 / 街区の1辺の距離(一般に40メートル前後) / 《英》ブロック(アパート・事務所・商店などに区切られている大きな建物) / 『妨害物』,障害物(obstacle);(障害によって生じた)停滞,渋滞 / 台木,台(まないた・肉切り台・まき割り台・せり売り台・帽子の木型など);《the~》炭頭台 / (特にアメリカンフットボールで)ブロック(相手の選手の突進を阻止する) / 滑車(pulley) / (座席券・株券などの)一組《+『of』+『名』》 / 〈通路など〉'を'『ふさぐ』,〈通行・進行など〉'を'妨げる / 〈帽子など〉の型取りをする / (特にアメリカンフットボールで)〈相手選手の突進〉'を'ブロックする;(ボクシングで)〈相手のパンチ〉'を'ブロックする
mouth	 (人・動物の物を食べたり,音を発する)『口』,口腔 / (口に似た)開口部;(袋・びんなどの)口,(銅穴・峡谷などの)入り口;河口,港口 / …‘を'大げさに口を動かし気どってしゃべる / 〈信じていないこと・理解していないこと〉‘を'口にする / …‘を'口に入れる,かむ,なめる 
sharp	 (刃・先端が)『鋭い』,よく切れる,よく突きささる / (頂上などが)先がとがっている / (道路などが)『急な』,急カーブの,急こう配の / (言葉などが)『厳しい』,辛らつな / (痛みが)『鋭い』,激しい;(寒さなどが)激しい,身を切るような / (食物が)ぴりっとする,辛い / (音が)鋭い,高い / (輪郭などが)はっきりした,くっきりした / (感覚・頭が)鋭い / 抜け目のない,すばしこい / 油断のない,用心深い / (動作が)速い,機敏な,きびきびした / (身なりの)いきな,スマートな / 《名詞の後にのみ用いて》(音が)シャープの,嬰(えい)音の;調[記]号がシャープ(#)の / 《名詞の後にのみ用いて》(時間を)きっかり,正碓に / 鋭く;急に;油断なく / (音楽で)半音高く / シャープ,嬰音 / シャープ記号(#) 
round	 …『を[ぐるっと]回って』,を一周して / …『を曲がって』 / …『の周囲に』,を取り巻いて / …『のあちこちに』,の辺りに / …『ころ』 / (ぐるりと)回って,巡って / 周囲が(に) / あちこち[に],方々[に];行き渡って / 回り道して / (ある場所へ)回って / 『球状の』,丸い / (タイヤ・輪のように)円形の,丸い / (断面の丸い)円筒(円錐)形の / (肩・筆跡などが)丸みのある,丸々とした / 《名詞の前にのみ用いて》(数量が)完全の,ちょうどの / 『丸い物』;円,輪;球,円筒形 / (中心・軸をまわる)『回転』,(天体の)回転運動 / 《しばしば複数形で》(職務上などの)巡回,見回り / 《単数形で》(行い・でき事の一つの)連続;繰り返り;(…が)ひとしきり続くこと《+『of』+『名』》 / (ボクシングの一勝負の中の)『ラウンド』,回,(ゴルフデ全部のホールを回る)ラウンド,(カードゲームの)一回り / 輪唱 / (銃砲の)1回の射撃,一斉射撃 / (射撃用弾薬の)1回分 / (牛のもも肉の)丸切り,(パンの)丸切り《+『of』+『名』》 / 輪舞,円舞 / …‘を'『丸くする』,‘に'丸みをつける / …‘を'『回る』,曲がる / 〈端数をもつ数字〉‘を'端数を切り捨てて(概数で)表す《+『down』+『名』+『to』+『名』》 / …‘を'完成する,仕上げる / …‘を'くちびるを丸くして発音する / 『丸くなる』 / 回る,曲る / 完成する 
rapid	 『速い』,『すばやい』,敏速な / (坂などが)急な,険しい / 急流,早瀬 
laugh	 (声を立てて)〈人が〉『笑う』 / 〈目・口もとなどが〉うれしそうに笑う / 〈動物,特にハイエナなどが〉笑い声に似た声(音)を出す / …‘を'笑って言う / 《a+形容詞+laughを目的語にして》…‘の'笑い方をする / 〈人〉‘を'『笑う』 / 『笑い』;笑い声;笑い方 / 《話》笑いの種,冗談(joke)
broad	 『幅の広い』 / 『広大な』,広々とした / 幅が…ある / 寛大な,包容力のある,偏見のない / 広範囲にわたる / 分かりやすい,明白な / くまなく行き渡った,さえぎるもののない,明るい / あけすけの,露骨な / 主要な;大まかな,大ざっぱな / (発音に)強いなまりのある / すっかり,広く(wide) 
reply	 (…に)『答える』,返事する《+『to』+『名』》 / (…に)『応じる』,応戦する《+『to』+『名』》 / 《reply to+名+that節》(…に)…‘と'『答える』 / (…に対する)答え,回答(answer)《+『to』+『名』》
sight	 〈U〉『視力』,視覚(vision)・〈U〉《時にa ~》(…を)『見ること』《+『of』+『名』》・〈U〉見える範囲,視野,視界・〈C〉『景色』,『光景』,眺め・《the sights》『名所』・〈U〉見解・〈C〉《しばしば複数形で》(望遠鏡などの)照準器,照尺,照星・〈C〉《a ~》《話》ひどいもの・《a ~》多数(の…),多量(の…)《+『of』+『名』》;《副詞的に用いて》うんと,ずっと:a sight of money多額の金・…‘を'見つける,認める・ / (照準器で)…‘を'ねらう, ‘に'照準を合わせる
pound	 『ポンド』(一般に商業で用いられる重量の単位;16オンス;約453.6グラム;{略}『1b.』) / ポンド(英国・アイルランドなどの貨幣の単位(pound sterling)およびその紙幣;もと20シリング(=240ペンス);1971年2月以後は100ペンス;{略}￡) / トロイポンド(金・銀の重量単位;373.2グラム) 
match	 (1本の)『まっち』 / (昔の)火縄[銃]
youth	 〈U〉『若さ』,年の若いこと;若々しさ,元気 / 〈U〉『青年時代』,青春[期];(時代などの)初期 / 〈C〉《しばしば軽べつして》『青年』,若者,(特に)若い男 / 〈U〉《集合的に》《単数・複数扱い》《文》青年,若者たち(young people)
solid	 『固体の』,『固形の』 / 『うつろでない』,中身のつまった / (物質の)密度が高い,密な;(印刷の)行の詰まった / 《名詞の前にのみ用いて》『混じりもののない』,純正の / (構造的に)『堅固な』 / (人が)『信頼できる』,堅実な / 健全な,しっかりした / 一致した,団結した / (時間が)まるまる,切れ目のない;(物が)連続した / 三次元の,立体の,立方の / 『固体』,固形物 / 立方体
crowd	 (秩序・統制のない)(…の)『群衆』,人こみ《+『of』+『名』》 / 《the+》『一般大衆』,庶民 / (…の)たくさん寄り集まっているもの《+『of』+『名』》 / 《話》(特定の)グルーパ,連中 / 『群らがる』,大勢集まる / 《副詞句を伴って》群らがって押し進む(押し寄せる) / (…に)〈人・物〉'を'『詰め力む』,押し力む《+『名』+『into』+『名』》 / (…で)〈場所〉'を'いっぱいにする,(…を)…‘に'詰め込む《+『名』+『with』+『名』》 / 《話》せがむ,強要する 
stick	 (とがったもので)…‘を'『刺す』,突く《+『名』+『with』+『名』》 / (…に)〈とがったもの〉‘を'『突き刺す』,突き立てる《+『名』+『in』(『into, through』)+『名』》 / (…で…に)…‘を'『刺して留める』,刺す《+『名』+『on』+『名』+『with』+『名』》 / (のりなどで…に)…‘を'『はる』,くっける《+『名』+『on』+『名』+『with』+『名』》 / 《話》(…に)…‘を'置く,すえる(put)《+『名』+『on』(『in』)+『名』》 / 《受動態で》〈人・車など〉‘を'『動けなくする』,〈仕事など〉‘を'行き詰まらせる / 《話》〈人〉‘を'困惑させる;〈人〉‘を'だます,‘に'たかる / (…に)『突す刺さる』,刺さっている《+『in』+『名』》 / 『くっついて離れない』,はりつく / 動かなくなる,立往生する
avoid	 〈危険・いやなもの〉'を'『避ける』,回避する(keep away from) / (法律上)〈抗弁など〉'を'無効にする
ideal	 『理想』,究極の目的 / 理想の人物(物),(理想とすべき)手本 / 『理想的な』,申し分のない / (実在ではなく)観念的な,頭の中だけの;想標上の
guest	 (食事・会合・滞在などへの)『招待客』,賓客・(ホテル・下宿などの)泊まり客,宿泊人,(レストランなどの) / (ラジオ・テレビなどの番組の)ゲスト,特別出演者 / (テレビなどに)ゲスト出演する《+『on』+『名』》 
admit	 (場所・会・学校などへ)…'を'『入れる』,‘に'入ることを許す《+『名』+『to』(『into』)+『名』》 / 〈事実・要求・誤りなど〉'を'『認める』,受け入れる / 〈場所・建物などが〉〈人・物〉'を'収容できる 
swing	 (一定の動きで)…‘を'『振る』,揺り動かす / (一点を軸にして)…‘を'『回転させる』,ぐるりと回す / 〈棒など〉‘を'『振り回す』 / …‘を'向きを変える / 〈物〉‘を'『つるす』,掛ける / 《米話》〈取引きなど〉‘を'うまく処理する,思いどおりに操る / (…から別の意見・立場などに)…‘を'変える《+from+名+to+名》 / 《副詞[句]を伴って》(一定の動きで)『揺れる』,揺れ動く;ぶらんこに乗る / (一点を軸にして)『回転する』,ぐるりと回る / (大きく弧を描くように)(…を)打つ《+at+名》 / (…の方に)向きを変える《+on(onto,to,into)+名》 / のびのびと調子よく歩く,活動的になる / 《話》(…のことで)絞首刑になる《+for+名》 / (別の意見・立場などに)変わる《+to(toward)+名(doing)》 / 《話》〈音楽が〉スイング風である(に演奏する) / 〈C〉〈U〉(一定の動きを伴う)揺れ,振動;(ある方向への)揺れ動き《+toward+名》 / 〈C〉振幅 / 〈C〉『ぶらんこ』;ぶらんこ遊び / 〈U〉《しばしば a~》リズミカルな動き(歩き方) / 〈C〉(…を)大きく振ること,打つこと《+of+名》 / 〈U〉活動の自由 / 〈U〉スイング(1930‐40年代のジャズのリズム) / 〈C〉各国・各大陸を飛び歩く 
thank	 (…のことで)〈人〉‘に'『感謝する,』礼を言う《+名+for+名(doing)》 
chair	　〈C〉『いす』(通例1人用の4脚で背のあるもの;armchair, easy chair, rocking chair, swivel chairも含めていう)/ 《the chair》権威のある座(教授・裁伴官・司教・知事・市長などの地位) / 《the chair》議長(chairperson) / 《the chair》《米》(死刑用の)電気いす / …‘の'議長をつとめる,'を'司会する / …'を'いすに座らせる 
fresh	 『新鮮な』,生きのいい / 『はつらつとした』,若々しい / (印象・色などが)『鮮やかな』,薄れていない;(色が)塗りたての / これまでになかった,初めての;新規の新たな / 新米の,未熟な / (空気が)さわやかな,涼しい / (風が)やや強い / (水が)塩けのない;飲用できる / 《米話》(特に異性に対して)なれなれしい,ずうずうしい《+『with』(『to』)+『名』》 / 新たに,新しく
print	 …‘を'『印刷する』 / 〈原稿・本など〉‘を'『出版する』 / …‘を'『活字体で書く』 / 〈写真〉‘を'『焼きつける』,〈印画〉‘を'つくる / (…に)…‘を'押してつける;(心に)…‘を'刻みつける,印象づける《+『名』+『on』+『名』》 / (印刷・焼きつけなどによって)〈活字・模様・写真などが〉現れる,写る;〈紙などが〉印刷できる / 〈機械が〉印刷する / 活字体で書く / 〈U〉『印刷』,印刷の字体 / 〈C〉《しばしば複合語で》(押した)跡,しるし / 〈U〉プリント模様;プリント生地;〈C〉プリント地の衣服 / 〈C〉(写真の)印画,陽画(positive) / 〈C〉版画 
stain	 (…で)…‘を'『汚す』,‘に'しみをつける《+『名』+『with』+『名』》 / 〈ガラス・木材・布など〉‘に'『着色する』 / (…で)〈人格・名声など〉‘を'汚す,‘に'傷をつける《+『名』+『with』+『名』》 / 汚れる,しみがつく / 〈C〉〈U〉(…についた)『しみ』,汚れ《+『on』+『名』》 / 〈U〉〈C〉着色剤,染料 / 〈C〉(人格・名声などに対する)汚点,傷《+『on』(『upon』)+『名』》 
knife	 『ナイフ』,小刀;包丁;短刀 / (機械などの)刃 / …‘を'ナイフ(短刀)で切る(刺す) / (ナイフで)切るように進む
shout	 『叫ぶ,大声を出す』,どなる《+『out』》 / …‘を'大声で言う,叫ぶ《+『名』+『out,』+『out』+『名』》・『叫び』,大きな呼び声
guard	 〈C〉『見張り』,番人;歩哨(ほしょう),番兵;護衛兵 / 〈U〉(…を)見張ること,監視すること《+『over』+『名』》;(…を)警戒(用心)すること《+『against』+『名』》 / 〈C〉《英》(列車・電車の)『車掌』(《米》conductor) / 《the Guards》《英》近衛(このえ)連隊 / 〈U〉〈C〉(ボクシング・フェンシングなどで,相手の攻撃に対する)ガード,防御 / 〈C〉(米式フットボール・バスケットボールの)ガード / 〈C〉《しばしば複合語を作って》「(危険などを)防止する物,保護物」の輔を表す / …‘を'『見張る』,環視する / (…から)…‘を'『警戒する』,守る《+『against』(『from』)+『名』》 / (…に備えて)『警戒する』,用心する《+『against』+『名』(do『ing』)》
worse	 (badの比較級)(…より)『もっと悪い』(劣った),いっそう不当な《+than+名(節,句)》 / (illの比較級)《補語にのみ用いて》(病気が)(…より)『もっと悪化した』,さらに悪くなった《+than+名(節,句)》 / (badlyの比較級)(…より)『もっと悪く』;いっそうひどく《+than+名(節,句)》 / いっそう悪いこと,さらに悪化しているもの
agent	 『代理人』;周旋人 / 働き(作用)を起こすもの;作用物,薬剤 / (政府機関,特にFBI,CIAなどの)部員,機関員 
plain	 『はっきり見える』(『聞こえる』) / 『はっきり理解できる』,明白な / 全くの(sheer) / 混ぜ物のない,生(き)のままの;飾りのない;無地の / ありのままの / 『質素な』,飾り(模様)のない / (食べ物が)淡白な / 平凡な,並みの,普通の;素朴な / 『平原』,平野;《the Great Plains》(北米の)大平原地帯 
empty	 『からの』,中に何もない(だれも居ない) / 『空虚な』,なんの意味もない / 《話》腹ぺこの / 〈容器など〉‘を'『空にする』 / (容器などから)〈中身〉‘を'出して空にする《+『名』+『out of』+『名』》;(…に)〈中身〉‘を'全部出す《+『名』+『into』(『onto』)+『名』》 / 『空になる』;(…に)全部出て空になる《+『into』+『名』》 / 空き箱,空きびん 
sport	 〈U〉《集合的に》『スポーツ』,運動競技 / 〈C〉(個々の)『スポーツ』,運動競技 / 《複数形で》《英》運動会,競技会 / 〈U〉『気晴らし』,慰め,娯楽 / 〈C〉《話》スポーツマンらしい人,さっぱりした人,いい人 / 〈C〉(動・植物の)変種(mutant) / スポーツの;スポーツ用の / (服装が)戸外の着用に適した,軽快な / 〈衣服など〉‘を'見せびらかす / 《文》(気晴らしなどで)楽しむ,遊ぶ / からかう 
brush	 『ブラシ』,『はけ』,毛筆,画筆 / ブラシをかけること;絵筆を使うこと,画法 / ブラシに似た物;キツネのしっぽなど / 小ぜり合い,いざこざ / (…が)さっとかすること《+『of』+『名』》 / (モーターの)ブラシ,刷子 / …‘に'『ブラシをかける』,'を'ブラシでこする(みがく,払う) / (ブラシをかけるようにして,手で)…'を'払いのける / (通りすがりに)…'を'さっとかする / (…を)かすめて通る,かする《+『past』(『by』,『against』)+『名』》
guide	 〈人〉‘を'『案内する』 / (…のことで)〈人〉‘に'『助言する』,‘を'指導する,導く《+『名』+『in』+『名』》 / 〈仕事・行動など〉‘を'『監督する』,管理する;…‘を'思い通りに動かす,支配する / 『指導者』,『案内人』,ガイド / 『指標』,道しるべ;規律 / 『旅行案内』[『書』];(…の)『手引き』,入門書《+『to』+『名』》 / 誘導装置,(外科用探針の)導子 / 《英》Girl Guidesの一員
cloud	 『雲』 / (…の)『雲状のもの』《+『of』+『名』》 / (昆虫・鳥・飛行機などの)大群,大集団《+『of』+『名』》 / (疑惑・苦悩などの)暗い影《+『of』+『名』》 / (鏡・ガラスなどの)くもり / 〈煙などが〉…'を'『曇らせる』 / 〈事件などが〉…‘に'暗い影を投げかける,'を'汚す / 〈物・事が〉〈心・頭など〉'を'ぼんやりさせる,混乱させる / 〈空・ガラスなどが〉『曇る』《+『over』(『up』)》 / (悩み・心配などで)〈顔などが〉曇る,暗くなる《+『over』 『with』+『名』》
slave	 『奴隷』(どれい) / (欲望・習慣・職業などの)『とりこ』,(…に)ふける人《+『of』(『to』)+『名』》,(他人のために)あくせく働く人 / (奴隷のように)あくせく働く《+『away』》 
blind	 『目の見えない』,盲目の(sightless) / 《補語にのみ用いて》(…を)見る目がない,気がついていない《+『to』+『名』》 / 盲目的な,めくらめっぽうの(reckless) / (特に車の運転者に)隠れて見えない / (通りなどが)行き止まりの,出口のない;(建築物が)窓のない / 肉眼で見えないでする,計器だけに頼る / 〈人〉‘の'目をくらませる,'を'盲目にする / (…に対して)〈人〉‘の'判断力(分別)を失わせる《+『名』〈人〉+『to』+『名』》 / 『日よけ』,すだれ,よろい戸,ブラインド / 人の目をごまかすもの,見せかけ / 《米》(猟師の)隠れ場 / 目が見えなくて
arise	 〈問題・事件などが〉『起こる』,現れる / (…から)生じる(result)《+『from』+『名』》 / 《古・詩》起き上がる,立ち上がる / 《英ではまれ》〈霧・煙などが〉立ちのぼる,湧きあがる
curve	 『曲線』 / 『曲がり』,曲がったもの,湾曲部 / (野球で投球の)『カーブ』 / (…の方へ)『曲がる』,湾曲する《+『to』+『名』》 / …'を'曲げる;'を'湾曲させる 
stone	 〈U〉(物質としての)『石』,石材 / 〈C〉『小石』,岩石の小片 / 〈C〉《複合語を作って》(特定の目的に用いる)石材 / =precious stone / 〈C〉(形・堅さが)石に似たもの(あられなど) / 〈C〉(腎臓・膀胱(ぼうこう)などの)結石 / 〈C〉(果実の)種,核 / 〈C〉《英》(体重を表す重量単位の)ストーン(14ポンド(約5.35キログラム)に相当) / 『石造りの』,石の・石器製の / …‘に'石を投げる,石を投げて殺す / …‘に'石を取り付ける(張る,敷く),沿って石を並べる / 〈果実〉‘の'種を取る
snake	 『ヘビ』(『蛇』) / (蛇のように)ずるく陰険な人 / へび(配水管などの詰まった物を取り除く道具) / 蛇行する,くねくねと続く / 〈体など〉‘を'くねらす / 《米》〈材木など〉‘を'引っぱる,引きずる
brown	 『褐色の』,『茶色の』 / 日に焼けた / 『褐色』,『茶色』,トビ色 / …'を'褐色にする / 褐色になる 
unity	 {U}『単一性,統一性』;{C}単一体,統一体 / {C}{U}(古典劇構成での)一致 / {U}(…との)『協調』,調和《+with+名》 
rough	 (表面が)『粗い』,ざらざらした,きめの粗い・でこぼこの / (動きなどが)『荒っぽい』;(空・海などが)荒れた / (人・態度などが)『粗野な』,荒々しい,無作法な / 『おおよその』,あらましの / (ダイヤモンドなど)自然のままの,未加工の / 《話》困難な,つらい,ひどい;(…に)ひどい,むごい《+『on』+『名』》 / (生活が)非文化的な,不便な / 毛深い,毛むくじゃらの,毛が刈ってない / …‘を'乱暴(手荒)に扱う《+『up』+『名,』+『名』+『up』》 / 〈計画・作品など〉‘の'概略を書く,‘を'ざっと下書きする《+『in』(『out』)+『名,』+『名』+『in』(『out』)》 / 〈物の表面など〉‘を'ざらざらにする / 手荒く,乱暴に / 〈U〉《the rough》ラフ(ゴルフのコースで芝をはったフェアウェイ以外の部分) / 〈C〉乱暴者
depth	 〈U〉〈C〉《通例単数形で》『深さ』;奥行き / 〈U〉(知識・知性などの)『深遠さ』,深さ / 〈U〉(声・音などの調子の)『低さ』;(色の)濃さ / 〈C〉《複数形で》『奥まった場所』,奥地 / 〈C〉深い所,深み / 〈U〉〈C〉《時に複数形で》最中
adopt	 〈考え・習慣など〉'を'『取り入れる』,採用する / (法律によって)(…として)…'を'養子にする,家族(部族)の一員にする《+『名』+『as』+『名』》 / (投票など正式な手順で)…'を'採択する,承諾する 
birth	 〈C〉〈U〉『誕生』,出生 / 〈U〉『生まれ』,家柄;家系(lineage) / 〈C〉『起原』,起こり(origin) 
coast	 『海岸』,沿岸;海岸地域 / 《the C-》《話》(米国の)太平洋岸[地方],西海岸(West Coast) / (そりなどで滑る)斜面;斜面滑降 / (そりなどで)斜面を滑降する《+『along』》;(…を)滑降する《+『along』+『名』》 / 〈人が〉らくらくと(…を)する《+『through』+『名』》 / 海岸沿いに航行する / …‘の'海岸沿いに航行する 
forth	 (空間的に)『前へ』,先へ;外へ,表へ / (時間的に)『先』;今後,以後
ought	 《義務・当然》…『すべきである』,するのが当然である / 《忠告・願望》…するのが望ましい,するのがよい / 《見込み・当然の結果》…『するはずである』,きっと…するであろう 
waste	 (…に)〈金・時間・路力など〉‘を'『むだに使う』,浪費する《+名+on+名》 / 〈好機など〉‘を'『利用しそこなう』 / 〈体力など〉‘を'『消耗させる』,衰えさせる / 《しばしば受動態で》〈国土など〉‘を'『破壊する』, / 《米俗》…‘を'殺す(kill) / 〈体が〉(だんだん)衰える,やせる,弱る《+away》 / 《まれ》〈物が〉(少しずつ)減る,少なくなる / 〈U〉《時に a~》(…の)『むだ使い』,浪費《+of+名》 / 〈U〉〈C〉《しばしば複数形で》『廃物』,くず,残り物(garbage) / 〈C〉《おもに文》荒野,荒れ地;荒涼とした広がり / 『荒れ果てた』,不毛の:耕されていない;使用されていない / 『廃物の』,くずの,残り物の
climb	 …'を'『よじ登る』,登る《+『up』+『名』,+『名』+『up』》 / (…に)『よじ登る』,登る《+[『up』]『to』+『名』》 / 《副詞[句]を伴って》はうように進む / 『上がっている』,上昇する《+『up』》 / 〈つるなどが棒壁などを〉つたい登る《+『up』+『名』》 / 『よじ登ること』,登り;登る所
metal	 〈C〉(個々の)『金属』;〈U〉(材料としての)金属 / 〈U〉合金(真ちゅう,真銅など) / 〈U〉気性,気質 / 〈U〉《英》(舗装用・鉄道用の)砕石 / …‘に'金属をかぶせる / 《英》〈道路〉‘に'砕石を敷く
aside	 『わきに(へ)』;ある位置・方向から)それて;(…から)少し離れて《+『from』+『名』》 / 別にしておいて,しまっておいて / 忘れて,考慮しないで / (演劇の)傍白,わきぜりふ / ひとり言 / わき道にそれた発言
shore	 〈C〉(海・湖・河の)『岸』,海岸,湖畔,河岸・〈U〉陸・《しばしば複数形で》地方,国(country) 
being	 〈U〉存在,実在(existence);生命(life) / 〈U〉本質,本性(nature) / 〈C〉生き物 
scale	 《しばしば複数形で》『てんびん』,はかり / てんびんのさら / 《重量を表す副詞[句]を伴って》…の目方(体重)がある / …‘を'てんびんではかる
brain	 『脳』,脳髄 / 《しばしば複数形で》『頭脳』,『知力』 / 《話》秀才,知的指導者 / …‘の'頭を打ち砕く
smoke	 〈U〉『煙』;煙状のもの / 〈C〉たばこの一服,喫煙 / 〈C〉《話》たばこ,(特に)紙巻きたばこ / 『煙を出す』,煙る;湯気を立てる / 『たばこを吸う』 / 〈たばこ・麻薬など〉‘を'『吸う』 / 〈肉・魚〉‘を'『薫製』(くんせい)『にする』,いぶす 
